| artwork id | related theme | connection-level | thematic-connection                                                                                                                                                                                                         |
| ---------- | ------------- | ---------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 2          | nature_body   | top-pick         | The Great Hall of the Bulls is a foundational work for animal imagery and the expressive depiction of nature. It is one of the earliest and strongest examples of humans representing the nonhuman world in art. 250AP.txt  |
| 4          | nature_body   | related          | Running horned woman is useful for the human figure in relation to ritual and environment. It is a strong early image of the body, though its connection is broader than pure nature/body analysis. 250AP.txt               |
| 7          | nature_body   | related          | Jade cong is relevant because its form is tied to cosmological symbolism and natural materials. It is more useful as a symbolic object than as a direct body/nature example. 250AP.txt                                      |
| 9          | nature_body   | related          | The Ambum Stone is a related example because it suggests a human-animal hybrid form. It works well for discussing transformation and symbolic embodiment. 250AP.txt                                                         |
| 10         | nature_body   | related          | The Tlatilco female figurine is a useful early example of the human body in ceramic form. It is especially relevant for discussions of fertility, identity, and stylized figuration. 250AP.txt                              |
| 15         | nature_body   | top-pick         | The Seated scribe is important because it presents the human body in a highly observed, individualized way. It is a strong example of Egyptian attention to bodily presence, status, and physical representation. 250AP.txt |
| 17         | nature_body   | top-pick         | The Great Pyramids and the Sphinx belong here because the Sphinx links monumental form to animal-human hybridity and royal power. The pyramids also connect human engineering to landscape and cosmic order. 250AP.txt      |
| 18         | nature_body   | top-pick         | King Menkaura and queen is a key example of idealized bodies and controlled pose in Egyptian art. It is especially useful for discussing the relationship between physical form, power, and timelessness. 250AP.txt         |
| 21         | nature_body   | related          | Hatshepsut’s mortuary temple is more of an architectural work, but it does engage the body through monumental scale and the ruler’s presence. It is secondary for this theme. 250AP.txt                                     |
| 22         | nature_body   | top-pick         | Akhenaton, Nefertiti, and three daughters is one of the strongest AP works for body representation and family identity. Its elongated forms are crucial for discussing artistic manipulation of the human body. 250AP.txt   |
| 24         | nature_body   | related          | The Last Judgment of Hu-Nefer includes the body in a funerary and spiritual context. It is more useful for afterlife than for nature/body, but it can support discussion of the body’s destiny. 250AP.txt                   |
| 27         | nature_body   | top-pick         | The Anavysos Kouros is a classic example of the idealized male body in Greek art. It is essential for discussing anatomy, proportion, and the emergence of naturalism. 250AP.txt                                            |
| 28         | nature_body   | top-pick         | The Peplos Kore is a key female counterpart to the kouros and a strong example of stylized bodily form. It helps students discuss clothing, gender, and the presentation of the human figure. 250AP.txt                     |
| 29         | nature_body   | related          | The Sarcophagus of the Spouses is useful for relaxed bodily pose and the intimacy of the couple. It is a strong related example of the human body in funerary art. 250AP.txt                                                |
| 33         | nature_body   | related          | The Niobides Krater is a useful example for anatomy, motion, and the figure in landscape-like space. It supports discussions of bodies in action and mythic narrative. 250AP.txt                                            |
| 34         | nature_body   | top-pick         | Doryphoros is one of the most important works for idealized anatomy and canonical proportion. It is a core AP reference for the classical body. 250AP.txt                                                                   |
| 36         | nature_body   | related          | The Grave stele of Hegeso is useful for figure, drapery, and quiet bodily presence. It is a strong supporting example for gender and commemorative identity. 250AP.txt                                                      |
| 37         | nature_body   | top-pick         | Winged Victory of Samothrace is a top work for the body in motion and for how drapery can intensify bodily form. It is a strong example of expressive physicality and interaction with space. 250AP.txt                     |
| 38         | nature_body   | related          | The Great Altar of Zeus and Athena is relevant for muscular bodies, dramatic figures, and mythic struggle. It is a useful support for intense bodily expression. 250AP.txt                                                  |
| 40         | nature_body   | related          | The Alexander Mosaic includes the human figure in a dramatic battle context and is useful for motion and anatomy. It is a secondary example for this theme. 250AP.txt                                                       |
| 41         | nature_body   | related          | Seated boxer is important for realism, bodily strain, and age in sculpture. It is a strong related example of the body as vulnerable and wounded. 250AP.txt                                                                 |
| 43         | nature_body   | top-pick         | Augustus of Prima Porta is a key example of the idealized imperial body. It is especially useful for discussing how the ruler’s physique communicates authority and timeless power. 250AP.txt                               |
| 47         | nature_body   | related          | The Ludovisi Battle Sarcophagus includes densely packed bodies in combat and is useful for suffering, movement, and conflict. It is more of a combat-and-narrative work than a central body idealization piece. 250AP.txt   |
